date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf
2022-03-10,106.0199966430664,2.45,0.4403,0.781341552734375,4.63100004196167,12.246902465820312
2022-03-11,109.33000183105467,2.45,0.4403,0.7839509844779968,4.724999904632568,12.246902465820312
2022-03-14,103.01000213623048,2.45,0.4403,0.7852128744125366,4.6579999923706055,11.730879783630371
2022-03-15,96.44000244140624,2.45,0.4403,0.77996426820755,4.567999839782715,11.515870094299316
2022-03-16,95.04000091552734,2.45,0.4403,0.7831589579582214,4.748000144958496,11.550272941589355
2022-03-17,102.9800033569336,2.45,0.4403,0.7882208228111267,4.989999771118164,11.980291366577148
2022-03-18,104.6999969482422,2.45,0.4403,0.7916653752326965,4.86299991607666,11.885685920715332
2022-03-21,112.12000274658205,2.45,0.4403,0.7932856678962708,4.900000095367432,12.393107414245605
2022-03-22,111.76000213623048,2.45,0.4403,0.7944073677062988,5.186999797821045,12.289902687072754
2022-03-23,114.93000030517578,2.45,0.4403,0.7947356700897217,5.23199987411499,12.513511657714844
2022-03-24,112.33999633789062,2.45,0.4403,0.7962290048599243,5.401000022888184,12.487709999084473
2022-03-25,113.9000015258789,2.45,0.4403,0.7986965179443359,5.571000099182129,12.846478462219238
2022-03-28,105.95999908447266,2.45,0.4403,0.8008264303207397,5.507999897003174,12.543903350830078
2022-03-29,104.23999786376952,2.45,0.4403,0.798836886882782,5.335999965667725,12.492032051086426
2022-03-30,107.81999969482422,2.45,0.4403,0.8001344799995422,5.605000019073486,12.569838523864746
2022-03-31,100.27999877929688,2.45,0.4403,0.8011344075202942,5.642000198364258,12.48338794708252
2022-04-01,99.2699966430664,2.82,0.9208,0.8000959753990173,5.71999979019165,12.673579216003418
2022-04-04,103.27999877929688,2.82,0.9208,0.7983075976371765,5.711999893188477,12.863767623901367
2022-04-05,101.95999908447266,2.82,0.9208,0.8008841276168823,6.0320000648498535,12.64764404296875
2022-04-06,96.2300033569336,2.82,0.9208,0.800999641418457,6.0289998054504395,12.474742889404297
2022-04-07,96.02999877929688,2.82,0.9208,0.7959375381469727,6.359000205993652,12.699512481689453
2022-04-08,98.26000213623048,2.82,0.9208,0.7944894433021545,6.2779998779296875,12.967509269714355
2022-04-11,94.29000091552734,2.82,0.9208,0.7951654195785522,6.64300012588501,12.638998985290527
2022-04-12,100.5999984741211,2.82,0.9208,0.7911329865455627,6.679999828338623,12.941574096679688
2022-04-13,104.25,2.82,0.9208,0.7914898991584778,6.997000217437744,13.157700538635254
2022-04-14,106.9499969482422,2.82,0.9208,0.7957854866981506,7.300000190734863,13.296019554138184
2022-04-15,106.9499969482422,2.82,0.9208,0.7934618592262268,7.300000190734863,13.296019554138184
2022-04-18,108.20999908447266,2.82,0.9208,0.792707085609436,7.820000171661377,13.676399230957031
2022-04-19,102.55999755859376,2.82,0.9208,0.7936381697654724,7.176000118255615,13.477564811706543
2022-04-20,102.75,2.82,0.9208,0.7934178113937378,6.936999797821045,13.667755126953125
2022-04-21,103.79000091552734,2.82,0.9208,0.8008841276168823,6.956999778747559,13.183634757995605
2022-04-22,102.06999969482422,2.82,0.9208,0.7943379878997803,6.533999919891357,12.932929039001465
2022-04-25,98.54000091552734,2.82,0.9208,0.786101758480072,6.669000148773193,12.509322166442871
2022-04-26,101.6999969482422,2.82,0.9208,0.7852005362510681,6.849999904632568,12.62170696258545
2022-04-27,102.0199966430664,2.82,0.9208,0.7808778882026672,7.267000198364258,13.03666877746582
2022-04-28,105.36000061035156,2.82,0.9208,0.7803964614868164,6.888000011444092,13.7023344039917
2022-04-29,104.69000244140624,2.82,0.9208,0.7809693217277527,7.24399995803833,13.503499984741211
2022-05-01,104.69000244140624,2.8,0.9486,0.7809693217277527,7.24399995803833,13.503499984741211
2022-05-02,105.16999816894533,2.8,0.9486,0.7780284881591797,7.474999904632568,13.451629638671875
2022-05-03,102.41000366210938,2.8,0.9486,0.7767593264579773,7.953999996185303,13.970327377319336
2022-05-04,107.80999755859376,2.8,0.9486,0.7791924476623535,8.414999961853027,14.307483673095703
2022-05-05,108.26000213623048,2.8,0.9486,0.7851018905639648,8.782999992370605,14.17780876159668
2022-05-06,109.7699966430664,2.8,0.9486,0.7796055674552917,8.043000221252441,14.20374584197998
2022-05-09,103.08999633789062,2.8,0.9486,0.7741016149520874,7.026000022888184,13.183634757995605
2022-05-10,99.76000213623048,2.8,0.9486,0.7687340378761292,7.385000228881836,13.140408515930176
