date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf,oil_7d,oil_30d,oil_90d,oil_mom,cadusd_7d,cadusd_30d,cadusd_90d,cadusd_mom,natgas_7d,natgas_30d,natgas_90d,natgas_mom,etf_7d,etf_30d,etf_90d,etf_mom,bond_7d,bond_30d,bond_90d,bond_mom,rate_7d,rate_30d,rate_90d,rate_mom,dow,month,month_start,target_next_month_mom,housing_pressure_score
2019-11-07,57.150001525878906,1.57,1.7487,0.7584031224250793,2.7720000743865967,6.996639251708984,56.1014289855957,54.51933364868164,55.7504444970025,0.01311827123681053,0.7604589888027736,0.7580617884794871,0.757419615983963,0.005415016114905802,2.7601428713117326,2.4177999973297117,2.3560888873206243,0.1416804385802115,6.655061313084194,6.59465430577596,6.690806584888034,-0.015801358035688384,1.5785714285714287,1.591,1.534111111111111,0.01948051948051943,1.7482714285714285,1.74733,1.7470033333333332,0.0018906840838774919,3,11,2019-11-01,,-1.4863601
2019-11-08,57.2400016784668,1.57,1.7487,0.7560235857963562,2.7890000343322754,7.012686729431152,56.41285760062082,54.56366704305013,55.74577785068088,0.02378826390063482,0.7593194586890084,0.7581394712130228,0.7573222862349616,0.003092083494399933,2.7741428783961704,2.4306333303451537,2.3603777752982245,0.1601497435264745,6.734151567731585,6.592514626185099,6.690712960561116,-0.009070439780593187,1.5742857142857143,1.5919999999999999,1.533,0.01948051948051943,1.7484857142857142,1.7474400000000003,1.7470233333333334,0.0018906840838774919,4,11,2019-11-01,,-1.5066777
2019-11-11,56.86000061035156,1.57,1.7487,0.7561322450637817,2.63700008392334,6.996639251708984,56.795714787074495,54.65666707356771,55.73500005933973,0.0515997952889653,0.7588288187980652,0.7581581354141236,0.7572433504793379,0.0007410621312045063,2.77471433367048,2.4408666690190635,2.362733332316081,0.13175972972950856,6.82928923198155,6.591979710261027,6.689289898342556,-0.0022883494360042,1.57,1.593,1.5318888888888889,0.01948051948051943,1.7487,1.7475500000000002,1.7470433333333335,0.0018906840838774919,0,11,2019-11-01,,-1.6702198
2019-11-12,56.79999923706055,1.57,1.7487,0.755743682384491,2.621000051498413,6.932451248168945,56.88142885480608,54.76266708374023,55.69466671413846,0.05930623589186257,0.7582999808447701,0.7581771612167358,0.7571748938825396,0.0007558190608947246,2.7614286286490306,2.4521333376566568,2.3646999994913735,0.14805083673120745,6.886601039341518,6.597061395645142,6.68555973900689,0.022485331280823972,1.57,1.5919999999999999,1.5307777777777778,-0.018750000000000044,1.7487,1.7476,1.7470633333333334,0.000858516483516425,1,11,2019-11-01,,-1.8130391
2019-11-13,57.119998931884766,1.57,1.7487,0.7554752826690674,2.5999999046325684,6.900357723236084,56.964285714285715,54.91200040181478,55.66044447157118,0.08510637526939857,0.7575057319232396,0.7581396261850993,0.757069781753752,-0.0014883015652533693,2.7298571722848073,2.4639000018437702,2.3667444441053602,0.15709832172205496,6.909526007516043,6.606154918670654,6.681384420394897,0.041162361220072,1.57,1.5910000000000002,1.529666666666667,-0.018750000000000044,1.7487,1.7476500000000001,1.7470833333333335,0.000858516483516425,2,11,2019-11-01,,-1.8130795
2019-11-14,56.77000045776367,1.57,1.7487,0.7546088099479675,2.6470000743865967,6.868261337280273,56.89857155936105,55.05600039164225,55.62222226460775,0.08236414932288572,0.7566835965429034,0.7582838118076325,0.7569514652093251,0.005765247626565273,2.6991428988320485,2.4745000044504804,2.368899999724494,0.13653932104858324,6.9164033617292136,6.61337620417277,6.676941039827135,0.03256928008129911,1.57,1.59,1.5285555555555554,-0.018750000000000044,1.7487,1.7477000000000003,1.7471033333333332,0.000858516483516425,3,11,2019-11-01,,-1.7926704
2019-11-15,57.720001220703125,1.57,1.7487,0.754728376865387,2.687999963760376,6.9484968185424805,57.094286237444194,55.21966705322266,55.601555591159396,0.09297481006874908,0.7558735864503043,0.7584477365016937,0.7568119691477881,0.006558643723417079,2.679142883845738,2.485700003306071,2.3720111105177137,0.14285712837593634,6.950790337153843,6.623806937535604,6.673743353949653,0.047158235644079394,1.57,1.589,1.5274444444444448,-0.018750000000000044,1.7487,1.7477500000000001,1.7471233333333336,0.000858516483516425,4,11,2019-11-01,,-1.7926704
2019-11-18,57.04999923706055,1.57,1.7487,0.7562923431396484,2.565999984741211,6.8441901206970215,57.08000019618443,55.363000361124676,55.595222261216904,0.08151657321441785,0.7555720465523856,0.7586066901683808,0.7566993243164486,0.006345255366310809,2.649714299610683,2.4944666703542073,2.3748999993006388,0.11419887733110334,6.929011889866421,6.631028207143148,6.670714945263333,0.03268749715806574,1.57,1.588,1.5263333333333333,-0.018750000000000044,1.7487,1.7478000000000002,1.7471433333333333,0.000858516483516425,0,11,2019-11-01,,-1.826514
2019-11-19,55.209999084472656,1.57,1.7487,0.757185697555542,2.509999990463257,6.755930423736572,56.78999982561384,55.44900029500325,55.577777820163305,0.04902143195889952,0.7557380625179836,0.7587880790233612,0.7566219846407573,0.007238721450991914,2.6098571504865373,2.501866666475932,2.3771888891855877,0.09702791664686794,6.8923324176243375,6.643598635991414,6.667679940329657,0.05911955656389334,1.57,1.587,1.5252222222222223,-0.018750000000000044,1.7487,1.74785,1.7471633333333336,0.000858516483516425,1,11,2019-11-01,,-2.8099751
2019-11-20,57.11000061035156,1.57,1.7487,0.7535057067871094,2.559000015258789,6.80407190322876,56.825714111328125,55.59966697692871,55.5978889465332,0.08594790729509527,0.7553628427641732,0.7588825404644013,0.7564819660451677,0.003775075860412924,2.5987142835344588,2.512700001398722,2.3802111122343277,0.14547898496009926,6.864822796412876,6.658576138814291,6.666508091820611,0.07070700021835585,1.57,1.586,1.524111111111111,-0.018750000000000044,1.7487,1.7479,1.7471833333333333,0.000858516483516425,2,11,2019-11-01,,-2.8083947
2019-11-21,58.58000183105469,1.57,1.7487,0.7517666816711426,2.566999912261963,6.868261337280273,57.08000019618443,55.76733373006185,55.630666732788086,0.09393095547446828,0.7547946998051235,0.758944555123647,0.756311262316174,0.0024808965087101953,2.5909999779292514,2.5243333339691163,2.3837222231758965,0.15734895731103382,6.855652809143066,6.673553641637167,6.66542960272895,0.06999992942829114,1.57,1.5850000000000002,1.523,-0.018750000000000044,1.7487,1.74795,1.7472033333333334,0.000858516483516425,3,11,2019-11-01,,-2.9276767
